Type	#	user	text	nextType	#	
intro	0	b	hi guys	intro	1	
intro	1	b	im so bored	intro	2	
intro	2	a	Huh? If I recall correctly, aren't you on vacation?	intro	3	
intro	3	b	yeah, though it doesn't really feel like a vacation	intro	4	
intro	4	a	Well, at least you're not stuck at home. All this rain is making me feel gloomy.	intro	5	
intro	5	a	Though I must admit, this seems like the perfect weather to read some books.	intro	6	
intro	6	b	no joke	intro	7	
intro	7	b	the rain's also ruining my mood	intro	8	
intro	8	a	Huh? It's also raining there in Japan?	intro	9	
intro	9	b	nah my trip got cancelled because of the storm	intro	10	
intro	10	b	didn't i tell you?	intro	11	
intro	11	a	No, you didn't. Right, [name]?	choice	0,1	
choice	0	Player	Yeah, you didn't tell us	intro	12	
choice	1	Player	I knew about it	intro	13	
intro	12	b	my bad. guess i forgot	intro	14	
intro	13	a	You guys are mean, keeping me out of the circle.	intro	14	
intro	14	a	Anyways, maybe we can make some plans now that you’re still in town.	intro	15	
intro	15	a	At least after the rain’s finished.	intro	16	
intro	16	b	cant	intro	17	
intro	17	b	i’m in tacloban	intro	18	
intro	18	b	you know, visiting my relatives, instead.	choice	2	
choice	2	Player	Tacloban?	intro	19	
intro	19	a	Goodness,that reminds me. This gloomy rain and you saying Tacloban just reminded me of something.	intro	20	
intro	20	a	The Yolanda typhoon. Do you guys remember?	intro	21	
intro	21	b	oh yeah, that was great	choice	3,4	
choice	3	Player	HAHA lmao the greatest	intro	22	
choice	4	Player	what do you mean by 'great'?	intro	24	
intro	22	b	Ha! [name] gets me.	intro	23	
intro	23	a	What are you guys talking about?	intro	25	
intro	24	b	you guys don’t get it?	intro	25	
intro	25	b	typhoon yolanda. that typhoon that blessed us week long holidays away from school	intro	26	
intro	26	b	It felt like a second summer vacation	intro	27	
intro	27	a	What the hell?	intro	28	
intro	28	a	That was a disaster where lots of people lost their homes, families and even their lives.	intro	29	
intro	29	b	well, boohoo, look for someone who cares. I’d wish ANYTHING for no classes.	intro	30	
intro	30	b	in fact, i kinda wish that it wouldn’t rain while we’re on vacation and just rain when classes start again	intro	31	
intro	31	b	so u know, extended holidays for us all	intro	32	
intro	32	b	right, [name]?	intro	33	
intro	33	a	Are you kidding? Back me up here, [name]. I can’t be the only sensible one here.	choice	5	
choice	5	Player	well, a has a point	intro	34	it was probably one of the biggest disasters to have ever happened.
intro	34	a	Right, around 3000 people died in Tacloban, and about 6000 died, counting the other parts of the country	intro	35	
intro	35	b	darn(d*mn), i’m almost more surprised that you know all that on the top of your head	intro	36	
intro	36	b	all those people really died just because of some rain?	intro	37	
intro	37	b	sure, yolanda was a pretty strong bagyo, but it wasn’t that strong	intro	38	
intro	38	b	how do you even know these things?	intro	39	
intro	39	a	I read the news, like what everyone should do.	intro	40	
intro	40	a	Also, it wasn’t the rain that did the damage.	intro	41	
intro	41	b	the winds, then? they were pretty strong, I guess	intro	42	
intro	42	a	No, not the winds. I think it was a tsunami.	choice	6,7	
choice	6	Player	Yes, it was a tsunami	intro	43	
choice	7	Player	No, it wasn’t a tsunami	intro	50	[name]: No, it was a storm surge
intro	43	a	hmm… that doesn’t sound quite right	intro	44	
intro	44	b	yeah it doesn’t. how is there a tsunami if it’s just a typhoon?	intro	45	
intro	45	b	there weren’t any earthquakes or anything	intro	46	
intro	46	a	I know I did say it was a tsunami, but it really wasn’t. I just can’t seem to remember what actually happened.	intro	47	
intro	47	b	well, that’s a first	intro	48	
intro	48	b	maybe you can just admit that i’m right and perhaps it was the heavy rain, afterall	intro	49	
intro	49	b	since, u know, it’s a storm	intro	50	
intro	50	a	That’s it!	intro	51	
intro	51	a	I remember it now. Yes, it was a storm surge	intro	52	
intro	52	b	uhh…	intro	53	
intro	53	b	a storm surge?	intro	54	
intro	54	b	… an extra heavy rain?	intro	55	
intro	55	a	You make me want to punch my face.	intro	56	
intro	56	b	then what is it?? Just tell me	intro	57	
intro	57	a	well…	intro	58	
intro	58	a	I guess you could say it’s like a tsunami.	intro	59	
intro	59	b	it’s like a tsunami but it’s not a tsunami?	intro	60	
intro	60	a	Well, truth be told, I’m not really sure what a storm surge is either.	intro	61	
intro	61	a	I just know that it’s different from a tsunami	intro	62	
intro	62	a	[name], do you know?	choice	8,9	
choice	8	Player	no I don't	block	0	
choice	9	Player	hold on, I'll google it	intro	63	I found this link: https://www.nist.gov/video/storm-surge-animation
intro	63	a	Oh, I see.	intro	64	
intro	64	a	“A storm surge is water pushed inland by very strong winds, usually during very strong typhoons; on the other hand, a tsunami happens when water is displaced by earthquakes.”	intro	65	
intro	65	a	Yep, that makes sense.	event1	0	
						
event1	0	b	so that’s what a storm surge is	event1	1	
event1	1	b	my god, it's scarier than what I was imagining just a minute ago	event1	2	
event1	2	b	… and to think that I’m in tacloban right now	event1	3	
event1	3	b	… and this heavy rain	event1	4	
event1	4	b	part of me wants to ignore this and say that you guys are just bluffing	event1	5	
event1	5	b	but not gonna lie, part of me is freaking out right now	event1	6	
event1	6	b	the rain and winds just seem to be getting stronger every minute	event1	7	
event1	7	b	and, well, I guess I should've said this earlier	event1	8	
event1	8	b	i thought it was just a bunch of spam	event1	9	
event1	9	b	but i actually received a storm surge warning from ndrrmc just a few days ago	event1	10	
event1	10	a	What??	event1	11	
