Type	#	user	text	nextType	#	unlocks	
badending1	0	Jacob	walking through the flooded waters isn’t that bad	badending1	1	-1	
badending1	1	Jacob	feels a bit refreshing, if you ask me	badending1	2	-1	
badending1	2	Jacob	if only the waters weren’t so dir	badending1	3	-1	
badending1	3	Holly	‘dir’, what?	notif	18	-1	
badending1	4	Holly	Jacob???	choice	39,40	-1	
badending1	5	Holly	Now’s not the time to joke around!	badending1	6	-1	
badending1	6	Holly	Let’s hope he gets back home safe	badending1	7	-1	
badending1	7	Holly	Jacob hasn’t contacted us in a while… I have a bad feeling about this	choice	41,42	-1	
badending1	8	Holly	If something bad did happen to him, it’s not your fault nor mine alone	badending1	9	-1	
badending1	9	Holly	It’s both ours	notif	1	-1	
badending1	10	Holly	Jacob!!	badending1	11	-1	
badending1	11	Holly	I knew it! You’re safe!	badending1	12	-1	
badending1	12	Jacob	Holly, [Player]	badending1	13	-1	
badending1	13	Holly	What happened last time?? Why did you suddenly stop messaging us like that?	badending1	14	-1	
badending1	14	Holly	We were so worried	badending1	15	-1	
badending1	15	Jacob	I’m sorry	badending1	16	-1	
badending1	16	Jacob	but this is not Jacob	badending1	17	-1	
badending1	17	Jacob	this is his mother	badending1	18	-1	
badending1	18	Jacob	we took the shortest way back home, but the flood was still pretty deep and foggy	badending1	19	-1	
badending1	19	Jacob	we couldn’t see anything under the water	badending1	20	-1	
badending1	20	Jacob	we were also unfamiliar with the roads and… well…	badending1	21	-1	
badending1	21	Jacob	we didn’t know that there was an open gutter	badending1	22	-1	
badending1	22	Jacob	and he…	badending1	23	-1	
badending1	23	Jacob	i’m sorry i have no heart to tell you in detail what happened	badending1	24	-1	
badending1	24	Jacob	just know that what happened to Jacob is neither of your faults	badending1	25	-1	
badending1	25	Jacob	it’s mine	badending1	26	-1	
badending1	26	Jacob	both of you tried your best to guide and help Jacob, well, us, through the storm surge, and I, as his mother couldn’t do anything	badending1	27	-1	
badending1	27	Jacob	despite what happened to Jacob, we are truly thankful for both of your guidance	badending1	28	-1	
badending1	28	Jacob	i promise to read more on disaster preparedness	badending1	29	-1	
badending1	29	Jacob	and i hope you do too	badending1	30	-1	
badending1	30	Jacob	once again, thank you, and farewell	block	2	-1	
badending2	0	Jacob	ok gimme a sec, i'll look for them in the attic	badending2	1	-1	
badending2	1	Jacob	how do you even use these things	badending2	2	-1	
badending2	2	Holly	are you serious	choice	71	-1	
badending2	3	Holly	t e c h n o l o g y	badending2	4	-1	
badending2	4	Jacob	i've never used these before in my life give me a break	badending2	5	-1	
badending2	5	Jacob	ok be right back then	badending2	6	-1	
badending2	6	Jacob	better dry this house up before i turn into a raisin	notif	0	-1	
badending2	7	Holly	wait	badending2	8	-1	
badending2	8	Holly	appliances make use of electricity	badending2	9	-1	
badending2	8	Holly	electricity does not go well with moist 2nd floors	badending2	10	-1	
badending2	10	Holly	WAIT	choice	72	-1	
badending2	11	Holly	Jacob!!! don't plug them in!!!	badending2	12	-1	
badending2	12	Holly	Jacob???	badending2	13	-1	
badending2	13	Holly	DO NOT PLUG THE DEHUMIDIFIER AND AIR MOVER INTO YOUR WET WALL SOCKETS	choice	73	-1	
badending2	14	Holly	Jacob please respond	block	7	-1	
badending3	0	Jacob	this is not how i imagined a nice workout would be	badending3	1	-1	
badending3	1	Jacob	but oh well i gotta get all the water out quick	badending3	2	-1	
badending3	2	Jacob	so then i could rest afterwards too	badending3	3	-1	
badending3	3	Holly	wait are you really going to MANUALLY get the water out???	badending3	4	-1	
badending3	4	Jacob	... ok you're right that seems impossible	choice	74	-1	
badending3	5	Jacob	actually my dad mentioned something about installing a sump pump, what even is that?	badending3	6	-1	
badending3	6	Jacob	sump pump	badending3	7	-1	
badending3	7	Jacob	haha that sounds kinda funny	badending3	8	-1	
badending3	8	Holly	it’s some device that would help you quickly get rid of the flooding in your basement	badending3	9	-1	
badending3	9	Jacob	ohhhh, well alright. That’ll be my plan for the weekend then. Joy.	timer	0	-1	
badending3	10	Jacob	hi so	badending3	11	-1	
badending3	11	Jacob	we shouldn’t have tried to pump all the water out at once	badending3	12	-1	
badending3	12	Jacob	ughh i hate everything i’m so tired and this happens	badending3	13	-1	
badending3	13	Holly	?	choice	75	-1	
badending3	14	Jacob	the floor and walls of the basement cracked and collapsed	badending3	15	-1	
badending3	15	Jacob	IT'S DESTROYED	badending3	16	-1	
badending3	16	Jacob	there were so many things kept in there, even; important things	choice	78	-1	
badending3	17	Holly	ahh oh dear	badending3	18	-1	
badending3	18	Holly	i totally forgot	badending3	19	-1	
badending3	19	Holly	it’s caused by the pressure pushing against your basement walls, pressure from the water in the ground outside your house	badending3	20	-1	
badending3	20	Holly	the pumping out of water should’ve been done gradually	badending3	21	-1	
badending3	21	Holly	aaaah i’m sorry i should have mentioned this. I dont know why i didnt think about this happening.	badending3	22	-1	
badending3	22	Jacob	it's too late now	badending3	23	-1	
badending3	23	Jacob	the basement's a mess	badending3	24	-1	
badending3	24	Jacob	i get the feeling the whole house is gonna collapse next	choice	76	-1	
badending4	0	Jacob	alright, I guess I’m just being paranoid	badending4	1	-1	
badending4	1	Jacob	kinda funny. I never imagined I’d be saying things like this	badending4	2	-1	
badending4	2	Holly	are you sure about this?	badending4	3	-1	
badending4	3	Jacob	It’s okay. I trust you guys	badending4	4	-1	
badending4	4	Jacob	and my family looks like they’re ready to leave	badending4	5	-1	
badending4	5	Jacob	well, wish us luck	badending4	6	-1	
badending4	6	Jacob	i’ll talk to you guys later	badending4	7	-1	
badending4	7	Holly	stay safe, Jacob!	notif	2	-1	
badending4	8	Holly	Jacob hasn’t contacted us in a while… I have a bad feeling about this	choice	43,44	-1	
badending4	9	Holly	if something bad did happen to him, it’s not your fault nor mine alone	badending4	10	-1	
badending4	10	Holly	it’s both our fault	notif	3	-1	
badending4	11	Holly	Jacob!!	badending4	12	-1	
badending4	12	Holly	i knew it! You’re safe!	badending4	13	-1	
badending4	13	Jacob	Holly, [Player]	badending4	14	-1	
badending4	14	Holly	what happened last time?? Why did you suddenly stop messaging us like that?	badending4	15	-1	
badending4	15	Holly	we were so worried	badending4	16	-1	
badending4	16	Jacob	I’m sorry	badending4	17	-1	
badending4	17	Jacob	but this is not Jacob	badending4	18	-1	
badending4	18	Jacob	this is his mother	badending4	19	-1	
badending4	19	Jacob	we decided to leave during the peak of the storm surge	badending4	20	-1	
badending4	20	Jacob	we walked through the floods, but the winds were too strong	badending4	21	-1	
badending4	21	Jacob	and he…	badending4	22	-1	
badending4	22	Jacob	i’m sorry i have no heart to tell you in detail what happened	badending4	23	-1	
badending4	23	Jacob	just know that what happened to Jacob is neither of your faults	badending4	24	-1	
badending4	24	Jacob	it’s mine	badending4	25	-1	
badending4	25	Jacob	both of you tried your best to guide and help Jacob, well, us, through the storm surge, and I, as his mother couldn’t do anything.	badending4	26	-1	
badending4	26	Jacob	<b>we even thoughtlessly ignored the warning message that was sent to us</b>	badending4	27	-1	
badending4	27	Jacob	despite what happened to Jacob, we are truly thankful for both of your guidance	badending4	28	-1	
badending4	28	Jacob	i promise to read more on disaster preparedness	badending4	29	-1	
badending4	29	Jacob	and i hope you do too	badending4	30	-1	
badending4	30	Jacob	once again, thank you, and farewell	block	3	-1	
badending5	0	Jacob	oh yeah, that makes sense.	badending5	1	-1	
badending5	1	Jacob	as long as I make sure the basement doesn’t get flooded, we’ll be safe	badending5	2	-1	
badending5	2	Jacob	it’s underground after all	badending5	3	-1	
badending5	3	Jacob	the walls should be strong, being supported by packs of dirt and all	badending5	4	-1	
badending5	4	Jacob	i’ll go ahead and clean the basement first before telling my family	badending5	5	-1	
badending5	5	Jacob	it’s probably filled with dust	choice	52	-1	
badending5	6	Jacob	yep, I’m here and it’s as dusty as	badending5	7	-1	
badending5	7	Holly	as dusty as…?	badending5	8	-1	
badending5	8	Jacob	sorry, i got distracted	badending5	9	-1	
badending5	9	Jacob	i closed the door when i got here and i thought i heard my mom scream my name	badending5	10	-1	
badending5	10	Holly	uh… shouldn’t you go look for her?	badending5	11	-1	
badending5	11	Jacob	nah, it’s okay. It’s probably nothing. She’s probably only calling me to fetch her a drink or something.	badending5	12	-1	
badending5	12	Jacob	anyway, as I was saying, this basement is as dusty as	badending5	13	-1	
badending5	13	Holly	as dusty as..?	badending5	14	-1	
badending5	14	Jacob	oh no	badending5	15	-1	
badending5	15	Jacob	oh nono	badending5	16	-1	
badending5	16	Jacob	ohhh nooo	choice	53,54	-1	
badending5	17	Jacob	way worse	badending5	18	-1	
badending5	18	Jacob	way way waaay worse	badending5	19	-1	
badending5	19	Jacob	i’m screwed	badending5	20	-1	
badending5	20	Jacob	the place is flooding up reaally fast	badending5	21	-1	
badending5	21	Holly	well, what are you doing? Get out of there!	badending5	22	-1	
badending5	22	Jacob	i’m trying! But the door won’t open!	badending5	23	-1	
badending5	23	Jacob	no way, could something be blocking it?	badending5	24	-1	
badending5	24	Holly	could it be that it’s already flooded outside the basement and the pressure is preventing you from opening the door??	badending5	25	-1	
badending5	25	Jacob	no way! It wasn’t even thaat flooded there when i walked down the basement	badending5	26	-1	
badending5	26	Holly	but it was already flooding up??	badending5	27	-1	
badending5	27	Holly	Why didn’t you tell us!	badending5	28	-1	
badending5	28	Jacob	well, the water wasn’t rising anymore so I thought that was already the worst it was gonna get	badending5	29	-1	
badending5	29	Jacob	oh my god. Could my mom be calling me earlier because of this?	badending5	30	-1	
badending5	30	Holly	obviously!	badending5	31	-1	
badending5	31	Jacob	what do I do??	badending5	32	-1	
badending5	32	Holly	Jacob, stay in the groupchat	choice	55	-1	
badending5	33	Holly	[Player] call 911!!	badending5	34	-1	
badending5	34	Holly	Jacob, stay in the groupchat	badending5	35	-1	
badending5	35	Holly	just keep talking so we know you're still there	badending5	36	-1	
badending5	36	Jacob	alright	badending5	37	-1	
badending5	37	Jacob	but I don’t think this is gonna do me any good	badending5	38	-1	
badending5	38	Jacob	i’m dead, huh?	badending5	39	-1	
badending5	39	Jacob	i know i was very close to breaking down a while ago, but now that it’s coming…	badending5	40	-1	
badending5	40	Jacob	i don’t feel as scared	badending5	41	-1	
badending5	41	Holly	don’t say that!	badending5	42	-1	
badending5	42	Holly	[Player] is calling 911 right now	badending5	43	-1	
badending5	43	Holly	they should be there any minute	badending5	44	-1	
badending5	44	Jacob	hahaha well, whatever	badending5	45	-1	
badending5	45	Jacob	see you all in our next lives	notif	9	-1	
badending5	46	Holly	stop saying that!	badending5	47	-1	
badending5	47	Holly	[Player], have you called 911???	minigame	2	-1	
badending5	48	Holly	hold up	badending5	49	-1	
badending5	49	Holly	Jacob went offline??	badending5	50	-1	
badending5	50	Holly	i hope he’s okay…	notif	10	-1	
badending5	51	Holly	Jacob hasn’t contacted us in a while… I have a bad feeling about this	choice	60,61	-1	
badending5	52	-	-	intro	0	-1	
badending5	53	-	-	intro	0	-1	
badending5	54	Holly	if something bad did happen to him, it’s not your fault nor mine alone	badending5	55	-1	
badending5	55	Holly	it’s both our fault	notif	11	-1	
badending5	56	Holly	Jacob!!	badending5	57	-1	
badending5	57	Holly	i knew it! You’re safe!	badending5	58	-1	
badending5	58	Jacob	Holly, [Player]	badending5	59	-1	
badending5	59	Holly	what happened last time?? Why did you suddenly stop messaging us like that?	badending5	60	-1	
badending5	60	Holly	we were so worried	badending5	61	-1	
badending5	61	Jacob	I’m sorry	badending5	62	-1	
badending5	62	Jacob	but this is not Jacob	badending5	63	-1	
badending5	63	Jacob	this is his mother	badending5	64	-1	
badending5	64	Jacob	the storm suddenly got worse and we tried to look for Jacob..	badending5	65	-1	
badending5	65	Jacob	we really did…	badending5	66	-1	
badending5	66	Jacob	but he didn’t respond	badending5	67	-1	
badending5	67	Jacob	turns out, he was in the basement...	badending5	68	-1	
badending5	68	Jacob	the place flooded up really fast and i couldn’t stay down there any longer	badending5	69	-1	
badending5	69	Jacob	so he…	badending5	70	-1	
badending5	70	Jacob	i’m sorry i have no heart to tell you in detail what happened	badending5	71	-1	
badending5	71	Jacob	just know that what happened to Jacob is neither of your faults	badending5	72	-1	
badending5	72	Jacob	it’s mine	badending5	73	-1	
badending5	73	Jacob	both of you tried your best to guide and help Jacob, well, us, through the storm surge, and I, as his mother couldn’t do anything.	badending5	74	-1	
badending5	74	Jacob	we even thoughtlessly ignored the warning message that was sent to us	badending5	75	-1	
badending5	75	Jacob	i could’ve at least kept a close eye on him...	badending5	76	-1	
badending5	76	Jacob	despite what happened to Jacob, we are truly thankful for both of your guidance	badending5	77	-1	
badending5	77	Jacob	i promise to read more on disaster preparedness	badending5	78	-1	
badending5	78	Jacob	and i hope you do too	badending5	79	-1	
badending5	79	Jacob	once again, thank you, and farewell	block	5	-1	
badending6	0	Holly	huh? Where did Jacob go?	choice	56,57	-1	
badending6	1	Holly	come on, there’s no time for jokes	badending6	2	-1	
badending6	2	Holly	it couldn’t be the radio… could it?	badending6	3	-1	
